example_id                                                                  | status  | run_time        |
./spec/models/consortium_spec.rb[1:1:1]                                     | passed  | 0.04668 seconds |
./spec/models/consortium_spec.rb[1:2:1]                                     | passed  | 0.04859 seconds |
./spec/models/district_spec.rb[1:1:1:1]                                     | passed  | 0.07747 seconds |
./spec/models/district_spec.rb[1:1:2:1]                                     | passed  | 0.09486 seconds |
./spec/models/district_spec.rb[1:1:3:1]                                     | passed  | 0.09471 seconds |
./spec/models/district_spec.rb[1:2:1]                                       | passed  | 0.10949 seconds |
./spec/models/entity_ben_spec.rb[1:1:1:1]                                   | passed  | 0.00679 seconds |
./spec/models/entity_ben_spec.rb[1:1:1:2]                                   | passed  | 0.00612 seconds |
./spec/models/flag_spec.rb[1:1:1]                                           | passed  | 0.01108 seconds |
./spec/models/fy2015/allocation_spec.rb[1:1:1]                              | passed  | 0.00415 seconds |
./spec/models/fy2015/allocation_spec.rb[1:2:1]                              | passed  | 0.03362 seconds |
./spec/models/fy2015/consortium_spec.rb[1:1:1]                              | passed  | 0.0255 seconds  |
./spec/models/fy2015/district_spec.rb[1:1:1]                                | passed  | 0.02411 seconds |
./spec/models/fy2015/district_spec.rb[1:1:2]                                | passed  | 0.02857 seconds |
./spec/models/fy2015/district_spec.rb[1:1:3]                                | passed  | 0.02933 seconds |
./spec/models/fy2015/district_spec.rb[1:2:1]                                | passed  | 0.01376 seconds |
./spec/models/fy2015/district_spec.rb[1:2:2]                                | passed  | 0.01227 seconds |
./spec/models/fy2015/non_erate_line_item_spec.rb[1:1]                       | passed  | 0.01521 seconds |
./spec/models/fy2015/non_erate_line_item_spec.rb[1:2]                       | passed  | 0.03368 seconds |
./spec/models/fy2015/non_erate_line_item_spec.rb[1:3]                       | passed  | 0.01446 seconds |
./spec/models/fy2015/other_location_spec.rb[1:1:1]                          | passed  | 0.03966 seconds |
./spec/models/fy2015/school_spec.rb[1:1:1]                                  | passed  | 0.03832 seconds |
